rep,split,block,stat,df,p_chi2,reject
6,test,A2_outcome_len,1.7276160103456744,2,0.42155374314480965,False
6,test,A2_outcome_full,3.5198945568301117,6,0.741320957546432,False
6,test,A5_outcome|A2_outcome_full,1.922601433386631,2,0.3823951745675124,False
7,train,A5_outcome_base,10.890462995019,2,0.004316840554114854,True
7,train,A2_outcome_disc,6.588150607867927,2,0.037102337575269706,True
7,train,A2_outcome_clarity,3.6838466915948422,2,0.15851225884302234,False
7,train,A2_outcome_len,1.7586355406554437,2,0.41506598544116424,False
7,train,A2_outcome_full,10.351356019546426,6,0.11061431071722705,False
7,train,A5_outcome|A2_outcome_full,3.627373487621539,2,0.16305189676125365,False
7,test,A5_outcome_base,11.708353311279483,2,0.002867895895224737,True
7,test,A2_outcome_disc,0.8032249257905675,2,0.6692400507935716,False
7,test,A2_outcome_clarity,0.7093220546664055,2,0.701411162128336,False
7,test,A2_outcome_len,6.741778491389155,2,0.034359070099436284,True
7,test,A2_outcome_full,8.024126834315881,6,0.23634103744360968,False
7,test,A5_outcome|A2_outcome_full,9.115116869956315,2,0.010487633949414654,True
8,train,A5_outcome_base,0.7727213788676588,2,0.6795253838469717,False
8,train,A2_outcome_disc,0.9414617834938526,2,0.6245456261813027,False
8,train,A2_outcome_clarity,4.376130856591721,2,0.11213346915554279,False
8,train,A2_outcome_len,1.9764816905146685,2,0.3722309272029436,False
8,train,A2_outcome_full,16.573039777337506,6,0.010987352795265859,True
8,train,A5_outcome|A2_outcome_full,6.730727811593608,2,0.03454944108819147,True
8,test,A5_outcome_base,1.5691083491384916,2,0.4563230968841483,False
8,test,A2_outcome_disc,0.4117191177410319,2,0.8139473799456453,False
8,test,A2_outcome_clarity,2.7083416093259984,2,0.2581612718478463,False
8,test,A2_outcome_len,2.080748451715157,2,0.35332243482400105,False
8,test,A2_outcome_full,8.41551832352901,6,0.20921383643985003,False
8,test,A5_outcome|A2_outcome_full,2.829747825546268,2,0.2429562451967725,False
9,train,A5_outcome_base,4.0137157942346215,2,0.1344103429854252,False
9,train,A2_outcome_disc,0.4090546748571211,2,0.8150324607212854,False
9,train,A2_outcome_clarity,3.0882296449632176,2,0.2135007736895016,False
9,train,A2_outcome_len,1.2362100271593734,2,0.5389648014813124,False
9,train,A2_outcome_full,7.881871955295931,6,0.24688607783061733,False
9,train,A5_outcome|A2_outcome_full,1.6520648940502798,2,0.43778277153791223,False
9,test,A5_outcome_base,1.8569661642033262,2,0.39515267012825406,False
9,test,A2_outcome_disc,0.13912791501916105,2,0.9328004718815587,False
9,test,A2_outcome_clarity,0.17822810129149502,2,0.91474124079575,False
9,test,A2_outcome_len,0.6678889558637051,2,0.7160935401178125,False
9,test,A2_outcome_full,3.2372468061816484,6,0.7785346851058199,False
9,test,A5_outcome|A2_outcome_full,0.3317393772421645,2,0.8471566211443659,False
10,train,A5_outcome_base,2.875814489726187,2,0.2374241096555516,False
10,train,A2_outcome_disc,1.134583936735897,2,0.5670589749714579,False
10,train,A2_outcome_clarity,0.955929069125997,2,0.6200441867300963,False
10,train,A2_outcome_len,5.902975824388674,2,0.05226188696996403,False
10,train,A2_outcome_full,13.586479771980088,6,0.034612419697716,True
10,train,A5_outcome|A2_outcome_full,1.980726703283551,2,0.37144170254694453,False
10,test,A5_outcome_base,4.096946190246426,2,0.12893161968507005,False
10,test,A2_outcome_disc,3.180570809003297,2,0.20386741875128767,False
10,test,A2_outcome_clarity,0.1691762840790439,2,0.9188906589105132,False
10,test,A2_outcome_len,2.1423575473533,2,0.34260442622033116,False
10,test,A2_outcome_full,9.266639701359257,6,0.1591284086206416,False
10,test,A5_outcome|A2_outcome_full,2.435388986908034,2,0.29591160723713883,False
11,train,A5_outcome_base,1.1452435386702604,2,0.5640447033675364,False
11,train,A2_outcome_disc,2.2559647791522326,2,0.3236856696241923,False
11,train,A2_outcome_clarity,3.675715923757629,2,0.15915798370140943,False
11,train,A2_outcome_len,2.469721746436193,2,0.29087522808727284,False
11,train,A2_outcome_full,15.866073463767218,6,0.014491144713589366,True
11,train,A5_outcome|A2_outcome_full,3.4192332310543945,2,0.180935147047529,False
11,test,A5_outcome_base,1.1292143094121674,2,0.5685834682289661,False
11,test,A2_outcome_disc,9.15068439912612,2,0.010302772970293028,True
11,test,A2_outcome_clarity,5.488093127108656,2,0.06430958682765076,False
11,test,A2_outcome_len,2.1622038191419315,2,0.33922152817851026,False
11,test,A2_outcome_full,12.419909245442337,6,0.05323057740345283,False
11,test,A5_outcome|A2_outcome_full,3.8303617983309595,2,0.1473151809823059,False
12,train,A5_outcome_base,2.8896946557676384,2,0.2357820711558687,False
12,train,A2_outcome_disc,3.6483429074028457,2,0.1613512757644393,False
12,train,A2_outcome_clarity,8.405119216756669,2,0.014957243096998862,True
12,train,A2_outcome_len,0.7750160506415035,2,0.6787461870736965,False
12,train,A2_outcome_full,10.382958158263694,6,0.10942384289683815,False
12,train,A5_outcome|A2_outcome_full,0.09144948065823885,2,0.9553048829109798,False
12,test,A5_outcome_base,1.0334793949764665,2,0.5964620279923767,False
12,test,A2_outcome_disc,1.666454681598779,2,0.43464427511376047,False
